Base,Latitude,Longitude,MGRS,AFSC_Code,AFSC_Full_Name,PDF_URL,Base_URL
ABERDEEN PROVING GROUND,"39°27'47""N","76°07'13""W",18S VJ 03627 68763,61C1,61C1 (CHEMIST/NUCLEAR CHEMIST),https://paladindanse111.github.io/AFSC-PDFs/61C.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ABERDEEN_PROVING_GROUND.html
ABERDEEN PROVING GROUND,"39°27'47""N","76°07'13""W",18S VJ 03627 68763,62E1A,62E1A (DEVELOPMENTAL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/62E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ABERDEEN_PROVING_GROUND.html
ABERDEEN PROVING GROUND,"39°27'47""N","76°07'13""W",18S VJ 03627 68763,62E1B,62E1B (DEVELOPMENTAL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/62E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ABERDEEN_PROVING_GROUND.html
ABERDEEN PROVING GROUND,"39°27'47""N","76°07'13""W",18S VJ 03627 68763,62E1C,62E1C (DEVELOPMENTAL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/62E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ABERDEEN_PROVING_GROUND.html
ABERDEEN PROVING GROUND,"39°27'47""N","76°07'13""W",18S VJ 03627 68763,62E1E,62E1E (DEVELOPMENTAL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/62E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ABERDEEN_PROVING_GROUND.html
ABERDEEN PROVING GROUND,"39°27'47""N","76°07'13""W",18S VJ 03627 68763,62E1G,62E1G (DEVELOPMENTAL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/62E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ABERDEEN_PROVING_GROUND.html
ABERDEEN PROVING GROUND,"39°27'47""N","76°07'13""W",18S VJ 03627 68763,62E1H,62E1H (DEVELOPMENTAL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/62E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ABERDEEN_PROVING_GROUND.html
ABERDEEN PROVING GROUND,"39°27'47""N","76°07'13""W",18S VJ 03627 68763,62E1I,62E1I (DEVELOPMENTAL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/62E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ABERDEEN_PROVING_GROUND.html
ALCONBURY RAF,"52°22'09""N","0°13'43""W",30U XD 88669 05714,32E1A,32E1A (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ALCONBURY_RAF.html
ALCONBURY RAF,"52°22'09""N","0°13'43""W",30U XD 88669 05714,32E1C,32E1C (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ALCONBURY_RAF.html
ALCONBURY RAF,"52°22'09""N","0°13'43""W",30U XD 88669 05714,32E1E,32E1E (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ALCONBURY_RAF.html
ALCONBURY RAF,"52°22'09""N","0°13'43""W",30U XD 88669 05714,32E1F,32E1F (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ALCONBURY_RAF.html
ALCONBURY RAF,"52°22'09""N","0°13'43""W",30U XD 88669 05714,32E1G,32E1G (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ALCONBURY_RAF.html
ALCONBURY RAF,"52°22'09""N","0°13'43""W",30U XD 88669 05714,32E1J,32E1J (CIVIL ENGINEER),https://paladindanse111.github.io/AFSC-PDFs/32E.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ALCONBURY_RAF.html
ALCONBURY RAF,"52°22'09""N","0°13'43""W",30U XD 88669 05714,65F1,65F1 (FINANCIAL MANAGEMENT),https://paladindanse111.github.io/AFSC-PDFs/65F.html,https://paladindanse111.github.io/AFSC-PDFs/BASE_ALCONBURY_RAF.html
